alpha_error_original_definition,analysis_nrmse,case,device,forecast_coverage_90,forecast_crps,forecast_interval_width_90,forecast_nrmse,runtime_seconds,seed_index,variant
0.02143521685053773,0.04850761908791241,kol,cuda:2,0.6933186848958334,0.04163728580947079,0.1527525336168668,0.06124431663638163,39.371785670053214,3,locked21
0.0054522433800336945,0.04959057252380476,kol,cuda:3,0.6866929796006944,0.042722652731401904,0.15419440970610362,0.06263580219541685,21.28740271902643,3,locked_local
0.0054522433800336945,0.049593742740780586,kol,cuda:3,0.686767578125,0.04272357774601901,0.15422941283614777,0.06263823755308315,21.741475139046088,3,native
0.02143521685053773,0.048525080463405805,kol,cuda:3,0.6936509874131944,0.04163734893427158,0.15287491511957627,0.06124804245596899,39.69298251508735,3,snr21
0.029997513477447835,0.04822051050601227,kol,cuda:3,0.6863335503472222,0.04169125228677725,0.15113318747205687,0.061386660309373904,12.207928756950423,3,apce_short_window_L1
0.029997513477447835,0.04822051050601188,kol,cuda:2,0.6863335503472222,0.041691252286777794,0.15113318747205196,0.06138666030937444,12.188221961958334,3,apce_short_window_L2
0.029997513477447835,0.04822051050601188,kol,cuda:3,0.6863335503472222,0.041691252286777794,0.15113318747205196,0.06138666030937444,12.336787546053529,3,apce_short_window_L4
0.09647847538978527,0.05186789817590561,kol,cuda:2,0.5471937391493056,0.06161244135849883,0.16152516701112718,0.08151435202760954,4.076086175860837,4,aug
0.125508748957864,0.05039975015307241,kol,cuda:3,0.7155287000868056,0.04992894865055928,0.18812058245933952,0.06819896124710301,36.052034992026165,4,bma
0.021422624212694252,0.04058649010161958,kol,cuda:2,0.8204888237847222,0.02877964397245547,0.14686174110086359,0.03956123799734124,39.24334821314551,4,gate21
0.005027435660232338,0.04166478375220476,kol,cuda:3,0.8360595703125,0.029149596913343387,0.15330886978953553,0.039800166561240545,21.736533684888855,4,gate_local
0.02143521683488747,0.040584678017140975,kol,cuda:3,0.8204481336805556,0.028779240594992386,0.14685506859578643,0.03956066489158418,38.397133267018944,4,grid21
0.02143425524184639,0.040610348574734584,kol,cuda:3,0.8215467664930556,0.02877585219886582,0.1471587680694413,0.03955807026848384,39.15395379299298,4,joint21
0.09453622797362426,0.04169808868900243,kol,cuda:2,0.7947116427951388,0.02985027985530568,0.13972848581560401,0.040626938537320814,27.05343059403822,4,joint_local
0.02143521685053773,0.040566085880589506,kol,cuda:3,0.8199666341145834,0.0287798899493793,0.14667349894942733,0.03956016598191189,39.39000226301141,4,locked21
0.0054522432295578405,0.041627328849305256,kol,cuda:2,0.8351711697048612,0.029132184031661887,0.15284239594681856,0.03977607588806538,22.306308248080313,4,locked_local
0.005452242740320079,0.04163692523246414,kol,cuda:2,0.8354627821180556,0.02913638033065919,0.1529684499582665,0.03978221039393876,21.79397565801628,4,native
0.021435216827014325,0.040590309705891864,kol,cuda:2,0.8206922743055556,0.028778050559930768,0.1469218850888485,0.0395593642248854,39.26508534513414,4,snr21
0.029997513477447835,0.04048377117413167,kol,cuda:2,0.8303087022569444,0.028657745325872747,0.15159652158457138,0.03960017403330917,12.150381098035723,4,apce_short_window_L1
0.029997513477447835,0.04048377117362173,kol,cuda:3,0.8303087022569444,0.028657745325558877,0.1515965215837614,0.039600174032752004,12.004515665117651,4,apce_short_window_L2
0.029997513477447835,0.04048377117362173,kol,cuda:2,0.8303087022569444,0.028657745325558877,0.1515965215837614,0.039600174032752004,12.254192958120257,4,apce_short_window_L4
0.013388128160859658,0.17827193168196284,kse,cuda:3,0.3315512447033898,0.28756364813106844,0.5884994435695261,0.3339428350263941,1.471776292892173,0,aug
0.09999999999999987,0.19993116546817477,kse,cuda:2,0.223682468220339,0.47074253472353333,0.4551040520718858,0.5214650574532032,16.594951797975227,0,bma
0.0565797787327873,0.19120741094844815,kse,cuda:3,0.2966929290254237,0.3334056654676375,0.5616756893808823,0.30923113915870176,31.242519789142534,0,gate21
0.03893073668364,0.18579476840953008,kse,cuda:2,0.3626522775423729,0.21676620758705253,0.479108665774813,0.24417129679561442,17.463177992030978,0,gate_local
0.04855394509274191,0.1945298440814148,kse,cuda:2,0.2931011652542373,0.337190002841114,0.567669243785538,0.30318540963106944,32.100560835096985,0,grid21
0.047903673967913285,0.19951052663061283,kse,cuda:2,0.2960308527542373,0.3356870159688734,0.5507769920599108,0.3137673206125745,32.305549590149894,0,joint21
0.010227362728028488,0.19939096410064264,kse,cuda:3,0.3363844014830508,0.2355736051585915,0.46517558624394534,0.26298055404182547,17.11719247396104,0,joint_local
0.027436604958960276,0.19208676634579563,kse,cuda:2,0.2933328919491525,0.33709559155557706,0.5680576289059627,0.29424892687653303,31.94404774904251,0,locked21
0.03650298882633218,0.19729533054230278,kse,cuda:3,0.3229939088983051,0.2743372628510249,0.47778237958242553,0.2955171405502697,16.989535615080968,0,locked_local
0.02346449563962172,0.19064598191384644,kse,cuda:2,0.3456865730932203,0.22685705570651324,0.45855325032815447,0.25453815008169234,17.61210107896477,0,native
0.05286825058672684,0.19516775031385222,kse,cuda:3,0.29296875,0.33781098888374855,0.5670307251402432,0.3059269227938604,31.038702490041032,0,snr21
0.0331833224865683,0.2051018649298028,kse,cuda:2,0.284278998940678,0.41380415834153356,0.5105274901886788,0.4275487972625892,18.85639832285233,0,apce_short_window_L1
0.028425960264526928,0.20710964122220693,kse,cuda:2,0.284278998940678,0.4138041583416473,0.510527490188704,0.45726671564124777,12.664452800992876,0,apce_short_window_L2
0.10000000000000009,0.20640186372473132,kse,cuda:2,0.284278998940678,0.4138041583415789,0.5105274901887197,0.5029760102837658,14.424106028862298,0,apce_short_window_L4
0.0531851523415634,0.02380750924205566,kse,cuda:3,0.2642346398305085,0.12188617735206696,0.12073142112441337,0.2160830940332868,10.450323167955503,1,apce_short_window_L1
